,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
271,7.0,Protean Hulk,R,Creature,9.99,6.75,8.84,4.88,0.02,1.39,30441.0,2.0,{5}{G}{G},"When Protean Hulk dies, search your library for any number of creature cards with total mana value 6 or less, put them onto the battlefield, then shuffle.",6/6,https://scryfall.com/card/sld/319/protean-hulk
272,6.0,Lurking Predators,R,Enchantment,8.99,6.52,8.84,5.92,0.02,0.58,30397.0,2.0,{4}{G}{G},"Whenever an opponent casts a spell, reveal the top card of your library. If it’s a creature card, put it onto the battlefield. Otherwise, you may put that card on the bottom of your library.",,https://scryfall.com/card/jmp/410/lurking-predators
273,2.0,Season of Growth,U,Enchantment,0.35,0.07,0.18,0.11,0.03,0.19,30364.0,2.0,{1}{G},"Whenever a creature enters the battlefield under your control, scry 1.(Look at the top card of your library. You may put that card on the bottom of your library.)Whenever you cast a spell that targets a creature you control, draw a card.",,https://scryfall.com/card/wot/61/season-of-growth
274,4.0,Canopy Tactician,R,Creature,1.49,1.59,1.47,1.18,0.02,0.19,30060.0,2.0,{3}{G},Other Elves you control get +1/+1.{T}: Add{G}{G}{G}.,3/3,https://scryfall.com/card/khm/378/canopy-tactician
275,7.0,Giant Adephage,M,Creature,0.99,0.63,0.73,0.52,0.02,0.27,29828.0,1.9,{5}{G}{G},"TrampleWhenever Giant Adephage deals combat damage to a player, create a token that’s a copy of Giant Adephage.",7/7,https://scryfall.com/card/ncc/293/giant-adephage
276,4.0,Ivy Lane Denizen,C,Creature,0.35,0.14,0.11,0.1,0.03,0.15,29823.0,1.9,{3}{G},"Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on target creature.",2/3,https://scryfall.com/card/j22/680/ivy-lane-denizen
277,5.0,Silverback Elder,M,Creature,5.49,3.63,5.52,4.98,0.95,0.57,29711.0,1.9,{2}{G}{G}{G},"Whenever you cast a creature spell, choose one —• Destroy target artifact or enchantment.• Look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.• You gain 4 life.",5/7,https://scryfall.com/card/dmu/177/silverback-elder
278,2.0,Evolutionary Leap,R,Enchantment,0.49,0.36,0.26,0.35,0.02,0.32,29638.0,1.9,{1}{G},"{G}, Sacrifice a creature: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.",,https://scryfall.com/card/ncc/288/evolutionary-leap
279,6.0,Mana Reflection,R,Enchantment,13.99,11.36,15.47,4.66,0.02,0.62,29604.0,1.9,{4}{G}{G},"If you tap a permanent for mana, it produces twice as much of that mana instead.",,https://scryfall.com/card/2xm/175/mana-reflection
280,3.0,Pride Sovereign,R,Creature,2.99,2.76,3.68,1.67,0.02,0.01,13618.0,1.9,{2}{G},"Pride Sovereign gets +1/+1 for each other Cat you control.{W},{T}, Exert Pride Sovereign: Create two 1/1 white Cat creature tokens with lifelink.(An exerted creature won’t untap during your next untap step.)",2/2,https://scryfall.com/card/akr/208/pride-sovereign
281,4.0,"Nylea, Keen-Eyed",M,Creature,4.49,3.63,6.26,2.93,0.02,0.19,29092.0,1.9,{3}{G},"IndestructibleAs long as your devotion to green is less than five, Nylea isn’t a creature.Creature spells you cast cost{1}less to cast.{2}{G}: Reveal the top card of your library. If it’s a creature card, put it into your hand. Otherwise, you may put it into your graveyard.",5/6,https://scryfall.com/card/thb/185/nylea-keen-eyed
282,2.0,Wall of Blossoms,U,Creature,0.59,0.19,0.55,0.14,0.03,0.11,29087.0,1.9,{1}{G},"DefenderWhen Wall of Blossoms enters the battlefield, draw a card.",0/4,https://scryfall.com/card/jmp/442/wall-of-blossoms
283,5.0,The Mending of Dominaria,R,Enchantment,0.49,0.17,0.26,0.14,0.02,0.15,29024.0,1.9,{3}{G}{G},"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)I, II — Mill two cards, then you may return a creature card from your graveyard to your hand.III — Return all land cards from your graveyard to the battlefield, then shuffle your graveyard into your library.",,https://scryfall.com/card/cmm/902/the-mending-of-dominaria
284,1.0,Silkguard,R,Instant,3.99,3.17,3.68,1.78,2.33,0.19,28957.0,1.9,{X}{G},"Put a +1/+1 counter on each of up to X target creatures you control.Auras, Equipment, and modified creatures you control gain hexproof until end of turn.(Equipment, Auras you control, and counters are modifications.)",,https://scryfall.com/card/nec/29/silkguard
285,6.0,Thunderfoot Baloth,R,Creature,0.99,0.37,0.73,0.29,5.04,0.21,28938.0,1.9,{4}{G}{G},"TrampleLieutenant— As long as you control your commander, Thunderfoot Baloth gets +2/+2 and other creatures you control get +2/+2 and have trample.",5/5,https://scryfall.com/card/scd/213/thunderfoot-baloth
286,4.0,Lys Alana Huntmaster,C,Creature,0.49,0.24,0.55,0.16,0.03,0.31,28901.0,1.9,{2}{G}{G},"Whenever you cast an Elf spell, you may create a 1/1 green Elf Warrior creature token.",3/3,https://scryfall.com/card/j22/686/lys-alana-huntmaster
287,8.0,Last March of the Ents,M,Sorcery,13.99,13.92,13.26,8.89,0.03,0.94,28899.0,1.9,{6}{G}{G},"This spell can’t be countered.Draw cards equal to the greatest toughness among creatures you control, then put any number of creature cards from your hand onto the battlefield.",,https://scryfall.com/card/ltr/172/last-march-of-the-ents
288,3.0,Llanowar Visionary,C,Creature,0.59,0.2,0.73,0.16,0.03,0.13,28898.0,1.9,{2}{G},"When Llanowar Visionary enters the battlefield, draw a card.{T}: Add{G}.",2/2,https://scryfall.com/card/m21/193/llanowar-visionary
289,5.0,Keeper of Fables,U,Creature,0.35,0.15,0.18,0.14,0.03,0.14,28845.0,1.9,{3}{G}{G},"Whenever one or more non-Human creatures you control deal combat damage to a player, draw a card.",4/5,https://scryfall.com/card/znc/71/keeper-of-fables
290,2.0,Inscription of Abundance,R,Instant,0.69,0.17,0.26,0.17,0.02,0.09,28232.0,1.8,{1}{G},"Kicker{2}{G}Choose one. If this spell was kicked, choose any number instead.• Put two +1/+1 counters on target creature.• Target player gains X life, where X is the greatest power among creatures they control.• Target creature you control fights target creature you don’t control.",,https://scryfall.com/card/ltc/251/inscription-of-abundance
291,3.0,"Ezuri, Renegade Leader",M,Creature,7.49,4.27,7.0,4.99,0.02,0.44,28215.0,1.8,{1}{G}{G},{G}: Regenerate another target Elf.{2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn.,2/2,https://scryfall.com/card/plist/987/ezuri-renegade-leader
292,4.0,Gemrazer,R,Creature,0.99,0.54,1.1,0.66,0.02,0.23,28142.0,1.8,{3}{G},"Mutate{1}{G}{G}(If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)Reach, trampleWhenever this creature mutates, destroy target artifact or enchantment an opponent controls.",4/4,https://scryfall.com/card/iko/155/gemrazer
293,5.0,Garruk's Packleader,U,Creature,0.35,0.23,0.18,0.14,0.03,0.18,28124.0,1.8,{4}{G},"Whenever another creature with power 3 or greater enters the battlefield under your control, you may draw a card.",4/4,https://scryfall.com/card/c19/168/garruks-packleader
294,3.0,Peregrin Took,U,Creature,0.35,0.18,0.18,0.1,0.03,0.31,27953.0,1.8,{2}{G},"If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead.(It’s an artifact with “{2},{T}, Sacrifice this artifact: You gain 3 life.”)Sacrifice three Foods: Draw a card.",2/3,https://scryfall.com/card/ltr/181/peregrin-took
295,2.0,Lignify,C,Enchantment,0.99,0.46,0.73,0.37,0.03,0.52,27895.0,1.8,{1}{G},Enchant creatureEnchanted creature is a Treefolk with base power and toughness 0/4 and loses all abilities.,,https://scryfall.com/card/ltc/252/lignify
296,2.0,Sylvan Caryatid,R,Creature,3.99,3.22,4.05,3.91,0.02,0.08,27832.0,1.8,{1}{G},"Defender, hexproof{T}: Add one mana of any color.",0/3,https://scryfall.com/card/ths/180/sylvan-caryatid
297,3.0,Guardian Augmenter,R,Creature,5.99,4.3,5.52,3.19,0.58,0.39,27726.0,1.8,{2}{G},FlashCommander creatures you control get +2/+2.Commanders you control have hexproof.,2/2,https://scryfall.com/card/c21/62/guardian-augmenter
298,4.0,"Nylea, God of the Hunt",M,Creature,6.49,5.06,5.52,4.92,0.02,0.25,27686.0,1.8,{3}{G},"IndestructibleAs long as your devotion to green is less than five, Nylea isn’t a creature.(Each{G}in the mana costs of permanents you control counts toward your devotion to green.)Other creatures you control have trample.{3}{G}: Target creature gets +2/+2 until end of turn.",6/6,https://scryfall.com/card/plist/186/nylea-god-of-the-hunt
299,5.0,Elder Gargaroth,M,Creature,16.99,12.07,16.21,13.59,1.9,0.43,27583.0,1.8,{3}{G}{G},"Vigilance, reach, trampleWhenever Elder Gargaroth attacks or blocks, choose one —• Create a 3/3 green Beast creature token.• You gain 3 life.• Draw a card.",6/6,https://scryfall.com/card/m21/179/elder-gargaroth
300,4.0,Neyith of the Dire Hunt,R,Creature,1.79,2.39,2.2,2.04,1.64,0.25,12758.0,1.8,{2}{G}{G},"Whenever one or more creatures you control fight or become blocked, draw a card.At the beginning of combat on your turn, you may pay{2}{R/G}. If you do, double target creature’s power until end of turn. That creature must be blocked this combat if able.({R/G}can be paid with either{R}or{G}.)",3/3,https://scryfall.com/card/jmp/30/neyith-of-the-dire-hunt
301,1.0,Abundant Growth,C,Enchantment,0.49,0.23,0.36,0.63,0.04,0.09,27367.0,1.8,{G},"Enchant landWhen Abundant Growth enters the battlefield, draw a card.Enchanted land has “{T}: Add one mana of any color.”",,https://scryfall.com/card/dmc/128/abundant-growth
302,8.0,Sandwurm Convergence,R,Enchantment,0.49,0.18,0.26,0.16,0.03,0.38,27360.0,1.8,{6}{G}{G},"Creatures with flying can’t attack you or planeswalkers you control.At the beginning of your end step, create a 5/5 green Wurm creature token.",,https://scryfall.com/card/cmm/911/sandwurm-convergence
303,2.0,Steelbane Hydra,R,Creature,3.49,3.03,3.68,1.57,0.02,0.18,27315.0,1.8,{X}{G}{G},"Steelbane Hydra enters the battlefield with X +1/+1 counters on it.{2}{G}, Remove a +1/+1 counter from Steelbane Hydra: Destroy target artifact or enchantment.",0/0,https://scryfall.com/card/ncc/313/steelbane-hydra
304,5.0,"Nissa, Vital Force",M,Planeswalker,3.49,3.08,3.68,3.18,0.02,0.26,27130.0,1.8,{3}{G}{G},"+1: Untap target land you control. Until your next turn, it becomes a 5/5 Elemental creature with haste. It’s still a land.−3: Return target permanent card from your graveyard to your hand.−6: You get an emblem with “Whenever a land enters the battlefield under your control, you may draw a card.”",Loyalty: 5,https://scryfall.com/card/klr/172/nissa-vital-force
305,6.0,Wolverine Riders,R,Creature,3.49,2.05,2.94,1.77,6.84,0.19,27100.0,1.8,{4}{G}{G},"At the beginning of each upkeep, create a 1/1 green Elf Warrior creature token.Whenever another Elf enters the battlefield under your control, you gain life equal to its toughness.",4/4,https://scryfall.com/card/j22/743/wolverine-riders
306,4.0,Elven Ambush,U,Instant,0.99,0.62,0.73,0.23,0.03,0.34,27088.0,1.8,{3}{G},Create a 1/1 green Elf Warrior creature token for each Elf you control.,,https://scryfall.com/card/gn3/92/elven-ambush
307,1.0,Keen Sense,U,Enchantment,2.29,1.48,2.2,1.07,0.03,0.14,27066.0,1.8,{G},"Enchant creatureWhenever enchanted creature deals damage to an opponent, you may draw a card.",,https://scryfall.com/card/tsr/213/keen-sense
308,5.0,"Kura, the Boundless Sky",M,Creature,2.79,1.53,2.94,1.44,0.02,0.19,26760.0,1.7,{3}{G}{G},"Flying, deathtouchWhen Kura, the Boundless Sky dies, choose one —• Search your library for up to three land cards, reveal them, put them into your hand, then shuffle.• Create an X/X green Spirit creature token, where X is the number of lands you control.",4/4,https://scryfall.com/card/neo/200/kura-the-boundless-sky
309,2.0,"Shigeki, Jukai Visionary",R,Creature,1.49,0.5,1.1,0.43,0.02,0.16,26703.0,1.7,{1}{G},"{1}{G},{T}, Return Shigeki, Jukai Visionary to its owner’s hand: Reveal the top four cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest into your graveyard.Channel—{X}{X}{G}{G}, Discard Shigeki: Return X target nonlegendary cards from your graveyard to your hand.",1/3,https://scryfall.com/card/neo/206/shigeki-jukai-visionary
310,2.0,Alpha Authority,U,Enchantment,2.29,1.45,2.2,3.36,0.03,0.25,26556.0,1.7,{1}{G},Enchant creatureEnchanted creature has hexproof and can’t be blocked by more than one creature.,,https://scryfall.com/card/gtc/114/alpha-authority
311,4.0,"Dwynen, Gilt-Leaf Daen",R,Creature,0.79,0.59,0.73,0.37,0.02,0.21,26409.0,1.7,{2}{G}{G},"ReachOther Elf creatures you control get +1/+1.Whenever Dwynen, Gilt-Leaf Daen attacks, you gain 1 life for each attacking Elf you control.",3/4,https://scryfall.com/card/khc/56/dwynen-gilt-leaf-daen
312,3.0,Thrashing Brontodon,U,Creature,0.35,0.07,0.18,0.02,0.01,0.1,26390.0,1.7,{1}{G}{G},"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment.",3/4,https://scryfall.com/card/lci/216/thrashing-brontodon
313,4.0,Slippery Bogbonder,R,Creature,1.79,1.7,1.84,0.82,4.52,0.32,26215.0,1.7,{3}{G},"FlashHexproofWhen Slippery Bogbonder enters the battlefield, put a hexproof counter on target creature. Then move any number of counters from among creatures you control onto that creature.",3/3,https://scryfall.com/card/ncc/312/slippery-bogbonder
314,4.0,Wirewood Channeler,U,Creature,2.29,1.06,2.2,0.21,0.04,0.4,26208.0,1.7,{3}{G},"{T}: Add X mana of any one color, where X is the number of Elves on the battlefield.",2/2,https://scryfall.com/card/khc/79/wirewood-channeler
315,5.0,"Freyalise, Llanowar's Fury",R,Planeswalker,1.29,1.41,1.1,1.07,0.35,0.19,26124.0,1.7,{3}{G}{G},"+2: Create a 1/1 green Elf Druid creature token with “{T}: Add{G}.”−2: Destroy target artifact or enchantment.−6: Draw a card for each green creature you control.Freyalise, Llanowar’s Fury can be your commander.",Loyalty: 3,https://scryfall.com/card/cmm/290/freyalise-llanowars-fury
316,7.0,Regal Force,R,Creature,3.99,2.93,4.05,2.06,0.02,0.3,26092.0,1.7,{4}{G}{G}{G},"When Regal Force enters the battlefield, draw a card for each green creature you control.",5/5,https://scryfall.com/card/j21/791/regal-force
317,2.0,Tangled Florahedron,U,Creature,0.39,0.24,,,0.03,0.09,26044.0,1.7,{1}{G},{T}: Add{G}.,1/1,https://scryfall.com/card/znr/211/tangled-florahedron-tangled-vale
318,1.0,Animist's Awakening,R,Sorcery,1.29,1.11,0.73,0.82,0.02,0.15,25858.0,1.7,{X}{G},"Reveal the top X cards of your library. Put all land cards from among them onto the battlefield tapped and the rest on the bottom of your library in a random order.Spell mastery— If there are two or more instant and/or sorcery cards in your graveyard, untap those lands.",,https://scryfall.com/card/c20/166/animists-awakening
319,5.0,Sporemound,C,Creature,0.35,0.17,0.11,0.06,0.03,0.14,25810.0,1.7,{3}{G}{G},"Landfall— Whenever a land enters the battlefield under your control, create a 1/1 green Saproling creature token.",3/3,https://scryfall.com/card/scd/212/sporemound
320,2.0,Quest for Renewal,U,Enchantment,4.99,6.58,5.52,5.09,0.1,0.4,25763.0,1.7,{1}{G},"Whenever a creature you control becomes tapped, you may put a quest counter on Quest for Renewal.As long as there are four or more quest counters on Quest for Renewal, untap all creatures you control during each other player’s untap step.",,https://scryfall.com/card/wwk/110/quest-for-renewal
321,3.0,Scurry Oak,U,Creature,0.69,0.58,0.73,0.23,0.03,0.49,25667.0,1.7,{2}{G},"Evolve(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)Whenever one or more +1/+1 counters are put on Scurry Oak, you may create a 1/1 green Squirrel creature token.",1/2,https://scryfall.com/card/j21/633/scurry-oak
322,2.0,Argothian Enchantress,M,Creature,44.99,40.62,44.22,25.92,3.41,0.6,25627.0,1.7,{1}{G},"Shroud(This creature can’t be the target of spells or abilities.)Whenever you cast an enchantment spell, draw a card.",0/1,https://scryfall.com/card/ema/158/argothian-enchantress
323,4.0,Elvish Promenade,U,Sorcery,2.99,1.61,2.94,0.73,0.03,0.32,25506.0,1.7,{3}{G},Create a 1/1 green Elf Warrior creature token for each Elf you control.,,https://scryfall.com/card/khc/59/elvish-promenade
324,1.0,Joraga Treespeaker,U,Creature,1.29,1.31,1.47,1.73,0.03,0.19,25504.0,1.7,{G},Level up{1}{G}({1}{G}: Put a level counter on this. Level up only as a sorcery.)LEVEL 1-41/2{T}: Add{G}{G}.LEVEL 5+1/4Elves you control have “{T}: Add{G}{G}.”,1/1,https://scryfall.com/card/plist/621/joraga-treespeaker
325,3.0,Prowling Serpopard,R,Creature,2.99,1.45,2.94,1.5,0.02,0.39,25351.0,1.6,{1}{G}{G},This spell can’t be countered.Creature spells you control can’t be countered.,4/3,https://scryfall.com/card/j22/713/prowling-serpopard
326,6.0,Ulvenwald Hydra,M,Creature,2.99,1.91,2.94,1.9,0.02,0.25,25218.0,1.6,{4}{G}{G},"ReachUlvenwald Hydra’s power and toughness are each equal to the number of lands you control.When Ulvenwald Hydra enters the battlefield, you may search your library for a land card, put it onto the battlefield tapped, then shuffle.",*/*,https://scryfall.com/card/sir/222/ulvenwald-hydra
327,4.0,Court of Bounty,R,Enchantment,0.99,0.71,0.73,1.04,0.94,0.29,25204.0,1.6,{2}{G}{G},"When Court of Bounty enters the battlefield, you become the monarch.At the beginning of your upkeep, you may put a land card from your hand onto the battlefield. If you’re the monarch, instead you may put a creature or land card from your hand onto the battlefield.",,https://scryfall.com/card/cmr/220/court-of-bounty
328,7.0,Tooth and Nail,R,Sorcery,2.99,2.25,2.94,2.65,0.02,1.0,25184.0,1.6,{5}{G}{G},"Choose one —• Search your library for up to two creature cards, reveal them, put them into your hand, then shuffle.• Put up to two creature cards from your hand onto the battlefield.Entwine{2}(Choose both if you pay the entwine cost.)",,https://scryfall.com/card/cmm/327/tooth-and-nail
329,2.0,Voracious Hydra,R,Creature,3.99,3.38,4.42,1.95,0.02,0.22,25139.0,1.6,{X}{G}{G},"TrampleVoracious Hydra enters the battlefield with X +1/+1 counters on it.When Voracious Hydra enters the battlefield, choose one —• Double the number of +1/+1 counters on Voracious Hydra.• Voracious Hydra fights target creature you don’t control.",0/1,https://scryfall.com/card/m20/200/voracious-hydra
330,4.0,"Yeva, Nature's Herald",R,Creature,3.49,2.03,3.68,1.82,0.02,0.29,25089.0,1.6,{2}{G}{G},Flash(You may cast this spell any time you could cast an instant.)You may cast green creature spells as though they had flash.,4/4,https://scryfall.com/card/sld/1284/yeva-natures-herald
331,7.0,Tyrranax Rex,M,Creature,6.99,5.8,7.0,5.71,0.58,0.81,25068.0,1.6,{4}{G}{G}{G},"This spell can’t be countered.Trample, ward{4}, hasteToxic 4(Players dealt combat damage by this creature also get four poison counters.)",8/8,https://scryfall.com/card/one/189/tyrranax-rex
332,4.0,Ripjaw Raptor,R,Creature,2.29,1.94,2.2,1.43,0.02,0.15,24996.0,1.6,{2}{G}{G},"Enrage— Whenever Ripjaw Raptor is dealt damage, draw a card.",4/5,https://scryfall.com/card/lcc/253/ripjaw-raptor
333,4.0,Armorcraft Judge,U,Creature,0.35,0.07,0.18,0.09,0.02,0.1,24842.0,1.6,{3}{G},"When Armorcraft Judge enters the battlefield, draw a card for each creature you control with a +1/+1 counter on it.",3/3,https://scryfall.com/card/cmm/273/armorcraft-judge
334,3.0,Bloated Contaminator,R,Creature,1.99,1.73,2.2,2.0,0.02,0.44,24728.0,1.6,{2}{G},"TrampleToxic 1(Players dealt combat damage by this creature also get a poison counter.)Whenever Bloated Contaminator deals combat damage to a player, proliferate.(Choose any number of permanents and/or players, then give each another counter of each kind already there.)",4/4,https://scryfall.com/card/one/159/bloated-contaminator
335,4.0,Elven Chorus,R,Enchantment,3.49,4.8,3.68,2.39,0.02,0.26,24705.0,1.6,{3}{G},You may look at the top card of your library any time.You may cast creature spells from the top of your library.Creatures you control have “{T}: Add one mana of any color.”,,https://scryfall.com/card/ltr/160/elven-chorus
336,1.0,Wirewood Symbiote,U,Creature,2.49,1.66,2.57,1.86,0.05,0.46,24632.0,1.6,{G},Return an Elf you control to its owner’s hand: Untap target creature. Activate only once each turn.,1/1,https://scryfall.com/card/ema/192/wirewood-symbiote
337,9.0,Titanoth Rex,U,Creature,0.69,0.27,0.73,0.19,0.03,0.08,24438.0,1.6,{7}{G}{G},"TrampleCycling{1}{G}({1}{G}, Discard this card: Draw a card.)When you cycle Titanoth Rex, put a trample counter on target creature you control.",11/11,https://scryfall.com/card/plist/1321/titanoth-rex
338,2.0,Constant Mists,U,Instant,8.49,9.6,8.1,2.5,0.06,1.04,24404.0,1.6,{1}{G},"Buyback—Sacrifice a land.(You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)Prevent all combat damage that would be dealt this turn.",,https://scryfall.com/card/td0/A66/constant-mists
339,2.0,Duskshell Crawler,C,Creature,0.35,0.09,0.11,0.14,0.03,0.16,24289.0,1.6,{1}{G},"When Duskshell Crawler enters the battlefield, put a +1/+1 counter on target creature.Each creature you control with a +1/+1 counter on it has trample.",0/3,https://scryfall.com/card/j22/650/duskshell-crawler
340,3.0,Rhys the Exiled,R,Creature,1.79,0.58,1.47,0.21,0.02,0.23,11399.0,1.6,{2}{G},"Whenever Rhys the Exiled attacks, you gain 1 life for each Elf you control.{B}, Sacrifice an Elf: Regenerate Rhys the Exiled.",3/2,https://scryfall.com/card/khc/73/rhys-the-exiled
341,3.0,Ranging Raptors,U,Creature,0.39,0.44,0.36,0.27,0.02,0.13,24217.0,1.6,{2}{G},"Enrage— Whenever Ranging Raptors is dealt damage, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",2/3,https://scryfall.com/card/lcc/249/ranging-raptors
342,2.0,Gemhide Sliver,C,Creature,0.35,0.19,0.18,0.16,0.03,0.52,24174.0,1.6,{1}{G},All Slivers have “{T}: Add one mana of any color.”,1/1,https://scryfall.com/card/cmm/896/gemhide-sliver
343,5.0,God-Eternal Rhonas,M,Creature,5.99,5.34,5.15,3.69,0.06,0.31,24054.0,1.6,{3}{G}{G},"DeathtouchWhen God-Eternal Rhonas enters the battlefield, double the power of each other creature you control until end of turn. Those creatures gain vigilance until end of turn.When God-Eternal Rhonas dies or is put into exile from the battlefield, you may put it into its owner’s library third from the top.",5/5,https://scryfall.com/card/ps19/163/god-eternal-rhonas
344,4.0,Foundation Breaker,U,Creature,0.35,0.2,0.18,0.22,0.03,0.18,23966.0,1.6,{3}{G},"When Foundation Breaker enters the battlefield, you may destroy target artifact or enchantment.Evoke{1}{G}(You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters the battlefield.)",2/2,https://scryfall.com/card/mh2/160/foundation-breaker
345,3.0,Invigorating Surge,U,Instant,0.35,0.15,0.55,0.22,0.03,0.25,23880.0,1.5,{2}{G},"Put a +1/+1 counter on target creature you control, then double the number of +1/+1 counters on that creature.",,https://scryfall.com/card/m21/190/invigorating-surge
346,8.0,Woodfall Primus,R,Creature,0.49,0.17,0.26,0.23,0.02,0.32,23790.0,1.5,{5}{G}{G}{G},"TrampleWhen Woodfall Primus enters the battlefield, destroy target noncreature permanent.Persist(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner’s control with a -1/-1 counter on it.)",6/6,https://scryfall.com/card/ltc/264/woodfall-primus
347,5.0,"Vivien, Monsters' Advocate",M,Planeswalker,4.99,4.3,5.52,5.12,0.27,0.32,23786.0,1.5,{3}{G}{G},"You may look at the top card of your library any time.You may cast creature spells from the top of your library.+1: Create a 3/3 green Beast creature token. Put your choice of a vigilance counter, a reach counter, or a trample counter on it.−2: When you cast your next creature spell this turn, search your library for a creature card with lesser mana value, put it onto the battlefield, then shuffle.",Loyalty: 3,https://scryfall.com/card/iko/175/vivien-monsters-advocate
348,3.0,"Nissa, Voice of Zendikar",M,Planeswalker,2.49,1.64,2.57,2.72,0.03,0.15,23768.0,1.5,{1}{G}{G},"+1: Create a 0/1 green Plant creature token.−2: Put a +1/+1 counter on each creature you control.−7: You gain X life and draw X cards, where X is the number of lands you control.",Loyalty: 3,https://scryfall.com/card/mb1/1281/nissa-voice-of-zendikar
349,3.0,Heronblade Elite,R,Creature,2.49,1.38,2.57,0.81,1.05,0.15,23740.0,1.5,{2}{G},"VigilanceWhenever another Human enters the battlefield under your control, put a +1/+1 counter on Heronblade Elite.{T}: Add X mana of any one color, where X is Heronblade Elite’s power.",1/1,https://scryfall.com/card/mic/26/heronblade-elite
350,2.0,Hooded Hydra,M,Creature,0.99,1.0,1.1,0.71,0.02,0.16,23737.0,1.5,{X}{G}{G},"Hooded Hydra enters the battlefield with X +1/+1 counters on it.When Hooded Hydra dies, create a 1/1 green Snake creature token for each +1/+1 counter on it.Morph{3}{G}{G}As Hooded Hydra is turned face up, put five +1/+1 counters on it.",0/0,https://scryfall.com/card/c19/172/hooded-hydra
351,8.0,Archetype of Endurance,U,Creature,0.99,0.69,0.73,1.02,0.03,0.47,23717.0,1.5,{6}{G}{G},Creatures you control have hexproof.Creatures your opponents control lose hexproof and can’t have or gain hexproof.,6/5,https://scryfall.com/card/fmb1/62/archetype-of-endurance
352,6.0,Pathbreaker Ibex,R,Creature,17.99,14.67,16.95,14.01,0.42,0.46,23705.0,1.5,{4}{G}{G},"Whenever Pathbreaker Ibex attacks, creatures you control gain trample and get +X/+X until end of turn, where X is the greatest power among creatures you control.",3/3,https://scryfall.com/card/sld/307/pathbreaker-ibex
353,4.0,Brawn,U,Creature,0.49,0.24,0.55,0.13,0.02,0.18,23616.0,1.5,{3}{G},"TrampleAs long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.",3/3,https://scryfall.com/card/moc/292/brawn
354,3.0,Master Chef,C,Enchantment,0.35,0.06,0.11,0.1,,0.21,23505.0,1.5,{2}{G},Commander creatures you own have “This creature enters the battlefield with an additional +1/+1 counter on it” and “Other creatures you control enter the battlefield with an additional +1/+1 counter on them.”,,https://scryfall.com/card/clb/241/master-chef
355,1.0,Venerated Rotpriest,R,Creature,2.99,2.13,3.68,3.34,0.38,1.14,23487.0,1.5,{G},"Toxic 1(Players dealt combat damage by this creature also get a poison counter.)Whenever a creature you control becomes the target of a spell, target opponent gets a poison counter.",1/2,https://scryfall.com/card/one/192/venerated-rotpriest
356,2.0,Outland Liberator,U,Creature,0.69,0.36,,,0.03,0.14,23470.0,1.5,{1}{G},"{1}, Sacrifice Outland Liberator: Destroy target artifact or enchantment.Daybound(If a player casts no spells during their own turn, it becomes night next turn.)",2/2,https://scryfall.com/card/dbl/190/outland-liberator-frenzied-trapbreaker
357,5.0,Glorious Sunrise,R,Enchantment,0.99,0.41,0.73,0.54,0.02,0.17,23467.0,1.5,{3}{G}{G},"At the beginning of combat on your turn, choose one —• Creatures you control get +1/+1 and gain trample until end of turn.• Target land gains “{T}: Add{G}{G}{G}” until end of turn.• Draw a card if you control a creature with power 3 or greater.• You gain 3 life.",,https://scryfall.com/card/dbl/467/glorious-sunrise
358,7.0,Ancient Bronze Dragon,M,Creature,10.99,8.34,11.05,8.77,,0.51,23458.0,1.5,{5}{G}{G},"FlyingWhenever Ancient Bronze Dragon deals combat damage to a player, roll a d20. When you do, put X +1/+1 counters on each of up to two target creatures, where X is the result.",7/7,https://scryfall.com/card/hbg/199/ancient-bronze-dragon
359,4.0,Leyline of Abundance,R,Enchantment,0.49,0.31,0.26,0.24,0.07,0.41,23414.0,1.5,{2}{G}{G},"If Leyline of Abundance is in your opening hand, you may begin the game with it on the battlefield.Whenever you tap a creature for mana, add an additional{G}.{6}{G}{G}: Put a +1/+1 counter on each creature you control.",,https://scryfall.com/card/wot/56/leyline-of-abundance
